Seq,Task ID,Category,Title,Implementation Status,Screen,Route,Page Entry,Depends On,Expected Files,Requirement Ref,Priority,Detail File,Detail Exists,Wave ID
23,PAGE-SCR001,PAGE,SCR-001 메인 페이지 조립,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,"CMP-SCR001-HERO, CMP-SCR001-DEST-DOMESTIC, CMP-SCR001-DEST-OVERSEAS, CMP-SCR001-DEST-DRAWER, CMP-SCR001-THEME-CHIPS, CMP-SCR001-SAFETY-GRID, CMP-SCR001-SAFETY-DRAWER, CMP-SCR001-RECENT-MATES, CMP-SCR001-FOUNDER-SUMMARY, CMP-SCR001-FAVORITES, CMP-SHARED-HEADER-FOOTER, DATA-DESTINATIONS, DATA-SAFETY, DATA-REPRESENTATIVE",기존 파일 수정: `src/app/page.tsx`(현재 `create-next-app` 기본 템플릿 내용),REQ-FUNC-001 REQ-FUNC-004 REQ-FUNC-006 REQ-FUNC-046 REQ-FUNC-057 REQ-FUNC-068 REQ-NF-026,P0,TASK-PAGE-SCR001.md,Y,W08
32,PAGE-SCR002,PAGE,SCR-002 대표 소개 페이지 조립,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,"CMP-SCR002-HERO, CMP-SCR002-STATS, CMP-SCR002-INTRO, CMP-SCR002-COUNTRIES, CMP-SCR002-TIMELINE, CMP-SCR002-GALLERY, CMP-SCR002-CONTACT-LINKS, CMP-SCR002-TOP-PICKS, CMP-SHARED-HEADER-FOOTER, DATA-REPRESENTATIVE, DATA-DESTINATIONS",신규 생성: `src/app/about/page.tsx`,REQ-FUNC-057 REQ-FUNC-058 REQ-FUNC-059 REQ-FUNC-060 REQ-FUNC-061 REQ-FUNC-062 REQ-FUNC-063,P1,TASK-PAGE-SCR002.md,Y,W11
40,PAGE-SCR003,PAGE,SCR-003 통합 여행 준비 페이지 조립,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"CMP-SCR003-INTRO, CMP-SCR003-TABS, CMP-SCR003-FLIGHT-FORM, CMP-SCR003-HOTEL-FORM, CMP-SCR003-TIPS, CMP-SCR003-MATE-WRITE, CMP-SCR003-MATE-LOGIN-PROMPT, CMP-SHARED-HEADER-FOOTER, CMP-SHARED-TOAST, AUTH-ADULT-VERIFICATION",신규 생성: `src/app/travel-tools/page.tsx`,REQ-FUNC-011 REQ-FUNC-012 REQ-FUNC-013 REQ-FUNC-014 REQ-FUNC-015 REQ-FUNC-016 REQ-FUNC-017 REQ-FUNC-018 REQ-FUNC-019 REQ-FUNC-020 REQ-FUNC-021 REQ-FUNC-022 REQ-FUNC-023 REQ-FUNC-024 REQ-FUNC-025 REQ-FUNC-026 REQ-FUNC-031 REQ-FUNC-032 REQ-FUNC-054 REQ-FUNC-080 REQ-NF-017,P0,TASK-PAGE-SCR003.md,Y,W16
48,PAGE-SCR004,PAGE,SCR-004 동행 조회 페이지 조립,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,"CMP-SCR004-INTRO, CMP-SCR004-FILTER, CMP-SCR004-LIST, CMP-SCR004-DETAIL, CMP-SCR004-APPLICATION, CMP-SCR004-REPORT, CMP-SCR004-SAFETY-NOTICE, CMP-SHARED-HEADER-FOOTER, CMP-SHARED-TOAST, DB-ACCESS",신규 생성: `src/app/mates/page.tsx`,REQ-FUNC-030 REQ-FUNC-033 REQ-FUNC-034 REQ-FUNC-035 REQ-FUNC-037 REQ-FUNC-039 REQ-FUNC-040,P0,TASK-PAGE-SCR004.md,Y,W22
54,PAGE-SCR005,PAGE,SCR-005 계정·관리 페이지 조립,IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,"CMP-SCR005-AUTH, CMP-SCR005-PROFILE, CMP-SCR005-MY-ACTIVITY, CMP-SCR005-ADMIN, CMP-SCR005-ROLE-SHELL, CMP-SHARED-HEADER-FOOTER, CMP-SHARED-TOAST, AUTH-SUPABASE-SETUP, DB-ACCESS",신규 생성: `src/app/account/page.tsx`,REQ-FUNC-028 REQ-FUNC-029 REQ-FUNC-036 REQ-FUNC-038 REQ-FUNC-040 REQ-FUNC-041 REQ-FUNC-066 REQ-FUNC-077,P0,TASK-PAGE-SCR005.md,Y,W24
10,CMP-SHARED-HEADER-FOOTER,CMP,전역 Header/Footer,IMPLEMENT,전역,공통(전 Route),`src/app/layout.tsx`,없음,"신규 생성: `src/app/_components/shared/header.tsx`, `src/app/_components/shared/footer.tsx`",REQ-FUNC-064 REQ-FUNC-065,P0,TASK-CMP-SHARED-HEADER-FOOTER.md,Y,W01
11,CMP-SHARED-TOAST,CMP,전역 Toast 컴포넌트,IMPLEMENT(대체),전역,공통(전 Route),`src/app/layout.tsx`,없음,신규 생성: `src/app/_components/shared/toast.tsx`,REQ-FUNC-043,P1,TASK-CMP-SHARED-TOAST.md,Y,W01
12,CMP-SHARED-ERROR-PAGES,CMP,404/오류 화면,IMPLEMENT,전역,공통(전 Route),`src/app/not-found.tsx`,CMP-SHARED-HEADER-FOOTER,신규 생성: `src/app/not-found.tsx`,REQ-FUNC-078,P1,TASK-CMP-SHARED-ERROR-PAGES.md,Y,W02
13,CMP-SCR001-HERO,CMP,검색 Hero,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,CMP-SHARED-HEADER-FOOTER,신규 생성: `src/app/_components/scr001/hero.tsx`,,P1,TASK-CMP-SCR001-HERO.md,Y,W06
14,CMP-SCR001-DEST-DOMESTIC,CMP,국내 여행지 Card Grid,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,DATA-DESTINATIONS,신규 생성: `src/app/_components/scr001/destination-grid.tsx`,REQ-FUNC-001 REQ-FUNC-002 REQ-FUNC-003 REQ-FUNC-005,P0,TASK-CMP-SCR001-DEST-DOMESTIC.md,Y,W06
